nth Fibonacci, Fast Doubling
0, 119
1, 33
2, 34
3, 41
4, 44
5, 38
6, 52
7, 45
8, 54
9, 40
10, 50
11, 50
12, 54
13, 45
14, 108
15, 42
16, 55
17, 30
18, 40
19, 30
20, 42
21, 42
22, 47
23, 29
24, 48
25, 39
26, 44
27, 38
28, 37
29, 34
30, 44
31, 39
32, 48
33, 48
34, 40
35, 35
36, 40
37, 35
38, 45
39, 35
40, 49
41, 45
42, 44
43, 38
44, 65
45, 52
46, 54
47, 45
48, 88
49, 58
50, 70
51, 63
52, 58
53, 48
54, 56
55, 51
56, 61
57, 54
58, 66
59, 43
60, 49
61, 36
62, 53
63, 43
64, 56
65, 43
66, 53
67, 46
68, 38
69, 36
70, 45
71, 36
72, 51
73, 30
74, 40
75, 31
76, 36
77, 36
78, 39
79, 31
80, 48
81, 44
82, 49
83, 42
84, 38
85, 30
86, 45
87, 36
88, 44
89, 41
90, 50
91, 37
92, 50
93, 24
94, 25
95, 107
96, 32
97, 45
98, 33
99, 41
100, 41
